ID,SMILES,UX,UY,MOLWT,SOLUBILITY,LOGP,NHACCEPT,NHDONER,NHETEROATOMS,NROTABLEBONDS,FRACCSP3,TPSA
CHEMBL1809198,COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1ncc(Cl)c(-c2cnc3c(F)cccn23)n1,16.08263397216797,-8.63672161102295,495.94600000000014,-2.55,4.004500000000002,8,1,11,5,0.25,87.89
CHEMBL214848,CCN(CCO)CCCOc1cc2ncnc(Nc3cc(CC(=O)Nc4cccc(F)c4F)[nH]n3)c2cc1OC,7.653104305267334,15.278407096862793,555.5860000000002,-2.52,3.6476000000000024,9,4,13,14,0.3333333333333333,137.52
CHEMBL394526,O=C(NC1Cc2ccccc2N(CC(O)CO)C1=O)c1cc2sc(Cl)c(Cl)c2[nH]1,15.481271743774414,0.6594856977462769,454.3350000000001,-2.52,2.5770999999999997,5,4,10,5,0.2631578947368421,105.66
CHEMBL381115,COc1ccc(I)c(Sc2nc3c(N)ncnc3n2CCNCC(C)(C)C)c1,8.1392183303833,7.724387168884277,512.4210000000004,-2.4,3.808600000000002,8,2,9,7,0.42105263157894735,90.88
CHEMBL553,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,7.0383806228637695,13.95312213897705,393.4430000000002,-2.38,3.405100000000002,7,1,7,10,0.2727272727272727,74.73000000000002
CHEMBL2086653,CC(C)(C)OC(=O)N1CCN(c2cnc(OCc3ccc(S(C)(=O)=O)cc3)cn2)CC1,18.930763244628906,5.198922157287598,448.5450000000002,-2.33,2.5162000000000004,8,0,10,5,0.47619047619047616,101.92999999999999
CHEMBL2094541,COc1cc(OC)nc(-n2ncc(Cl)c(Cl)c2=O)n1,8.21695613861084,6.692768096923828,303.105,-1.15,1.3465,7,0,9,3,0.2,79.13000000000001
CHEMBL261454,c1ccc(-c2n[nH]cc2-c2ccnc3ccccc23)nc1,6.953625202178955,7.505643844604492,272.31100000000004,-1.58,3.6869000000000014,3,1,4,2,0.0,54.46
CHEMBL1964629,Nc1nc(Cl)nc(NCc2ccccc2)n1,7.082216262817383,7.10329008102417,235.67800000000003,-1.55,1.7192999999999998,5,2,6,3,0.1,76.72
CHEMBL104505,N=C(N)c1ccc2cc(C(=O)Nc3ccccc3)cc(Nc3ncccn3)c2c1,7.108747482299805,5.218334197998047,382.4270000000001,-1.55,3.9097700000000017,5,4,7,5,0.0,116.78
CHEMBL1163672,O=C(c1ccc(F)cc1)C1CCN(C(=O)c2cccc(Cl)c2)CC1,10.4625883102417,5.112096309661865,345.80100000000004,-1.54,4.2142000000000035,2,0,5,3,0.2631578947368421,37.38
CHEMBL2163586,N#CC1(NC(=O)C2CCCCC2C(=O)N2CCc3[nH]c4c(C(F)(F)F)cccc4c3C2)CC1,-4.243189811706543,1.6786531209945679,458.48400000000015,-0.84,4.050180000000003,3,2,9,3,0.5416666666666666,88.99000000000001
CHEMBL1163767,O=C(c1ccc(F)cc1)C1CCN(C(=O)c2ccccc2OC(F)(F)F)CC1,10.606403350830078,5.0062360763549805,395.3520000000001,-0.84,4.459400000000003,3,0,8,4,0.3,46.61
CHEMBL1835909,CCOC(=O)c1ccc(OCC2CCN(c3ccc(C)nn3)C2)cc1,12.537440299987793,5.062701225280762,341.41100000000006,-0.77,2.867020000000001,6,0,6,6,0.42105263157894735,64.55000000000001
CHEMBL367586,CN(C(=O)Cc1ccccc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,23.563064575195312,10.893452644348145,426.60400000000016,-0.77,5.374100000000006,2,0,3,8,0.3448275862068966,23.550000000000004
CHEMBL1829763,CC(c1ccc(-c2ccc(F)cc2F)cc1)N1CCC(CCO)(c2ccc(F)cc2)OC1=O,8.667318344116211,5.804947376251221,455.4760000000002,-2.6,5.952100000000006,3,1,7,6,0.2692307692307692,49.77
CHEMBL20403,COC1(c2cc(F)cc(OCc3ccc4c(ccc(=O)n4C)c3)c2)CCOCC1,7.765650272369385,6.879692077636719,397.4460000000002,-2.49,3.908700000000003,5,0,6,5,0.34782608695652173,49.69
CHEMBL1736016,O=C(NC1CCCCC1)C1CCCN(S(=O)(=O)c2cccs2)C1,7.82025146484375,5.967723369598389,356.5130000000001,-2.38,2.5977000000000006,4,1,7,4,0.6875,66.48
CHEMBL271668,Cc1ccc(Oc2ccc(Nc3ncnc4cccc(OC(C)C(=O)NCCO)c34)cc2C)cn1,4.0392889976501465,14.798286437988281,473.5330000000003,-2.38,4.053340000000002,8,3,9,9,0.23076923076923078,118.49000000000001
